rank,name,score,source_count,category_count,categories,sources,entity_type
1,Amazon,13,6,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_ny; ida_oh; oge_trade; opioid_vendor; water_epa,corporate
2,FedEx,11,5,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_ny; ida_oh; oge_trade; water_epa,corporate
3,International Paper Co.,11,5,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_ny; ida_oh; oge_trade; water_epa,corporate
4,Tractor Supply Company,11,5,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_ny; ida_oh; oge_trade; water_epa,corporate
5,Cardinal Health,10,4,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; opioid; water_epa,corporate
6,Booz Allen Hamilton Inc.,9,5,2,Governing Pays; Where did the money go?,capitol_trade; fara; ida_ny; ida_oh; oge_trade,corporate
7,"Air Products and Chemicals, Inc.",9,4,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_ny; oge_trade; water_epa,corporate
8,"Bristol-Myers Squibb Co., Inc.",9,4,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_ny; oge_trade; water_epa,corporate
9,"General Mills, Inc.",9,4,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; oge_trade; water_epa,corporate
10,McKesson Corporation,9,4,2,Governing Pays; Where did the money go?,capitol_trade; ida_ny; ida_oh; opioid,corporate
11,Nucor Corp.,9,4,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_ny; oge_trade; water_epa,corporate
12,Schlumberger,9,4,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; fara_principal; ida_ny; water_epa,corporate
13,Target Corporation,9,4,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; oge_trade; water_epa,corporate
14,Thermo Fisher Scientific,9,4,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; oge_trade; water_epa,corporate
15,Whirlpool,9,4,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; oge_trade; water_epa,corporate
16,Ford Motor,8,4,2,Governing Pays; Where did the money go?,capitol_trade; ida_ny; ida_oh; oge_trade,corporate
17,General Electric,8,4,2,Governing Pays; Where did the money go?,capitol_trade; ida_ny; ida_oh; oge_trade,corporate
18,International Business Machines,8,4,2,Governing Pays; Where did the money go?,capitol_trade; ida_ny; ida_oh; oge_trade,corporate
19,Lockheed Martin Corp.,8,4,2,Governing Pays; Where did the money go?,capitol_trade; ida_ny; ida_oh; oge_trade,corporate
20,Advanced Drainage Systems,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; water_epa,corporate
21,Avery Dennison,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; water_epa,corporate
22,Carvana,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; water_epa,corporate
23,Caterpillar,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; water_epa,corporate
24,Church Dwight,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; water_epa,corporate
25,City of Atlanta,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; opioid_vendor; water_epa,government
26,City of Vienna,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,fara_principal; opioid; water_epa,government
27,Corning,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_ny; water_epa,corporate
28,Cummins Inc.,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_ny; water_epa,corporate
29,DTE Energy Co,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_ny; water_epa,corporate
30,Marathon Petroleum,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; water_epa,corporate
31,Michigan State University,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; opioid; water_epa,education
32,Mondelez Global,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_ny; water_epa,corporate
33,Owens Corning,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; water_epa,corporate
34,PPG Industries,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; water_epa,corporate
35,Parker Hannifin,8,3,3,Pollution & Enforcement; Governing Pays; Where did the money go?,capitol_trade; ida_oh; water_epa,corporate
36,State of Colorado,8,3,3,Governing Pays; Where did the money go?; Who's protecting patients?,capitol_trade; nursing_home; opioid,government
