norm_name,raw_name,sources,source_count,ida_ny,ida_oh,nursing_home,charter_school,faith_hospital,oge_trade,fara,capitol_trade,water_epa,opioid,hrsa_340b,opioid_vendor,fara_principal,dol_whd,nih_exporter,osha,msha,cfpb,sam_gov,usaspending
EATON,EATON,capitol_trade|dol_whd|ida_oh|oge_trade|opioid|osha|sam_gov|usaspending|water_epa,9,,Y,,,,Y,,Y,Y,Y,,,,Y,,Y,,,Y,Y
LOCKHEED MARTIN,Lockheed Martin Corp.,capitol_trade|dol_whd|ida_ny|ida_oh|oge_trade|osha|sam_gov|usaspending,8,Y,Y,,,,Y,,Y,,,,,,Y,,Y,,,Y,Y
AIR PRODUCTS AND CHEMICALS,"Air Products and Chemicals, Inc.",capitol_trade|dol_whd|ida_ny|oge_trade|osha|usaspending|water_epa,7,Y,,,,,Y,,Y,Y,,,,,Y,,Y,,,,Y
BOOZ ALLEN HAMILTON,Booz Allen Hamilton Inc.,fara|ida_ny|ida_oh|nih_exporter|osha|sam_gov|usaspending,7,Y,Y,,,,,Y,,,,,,,,Y,Y,,,Y,Y
CATERPILLAR,CATERPILLAR,capitol_trade|dol_whd|ida_oh|osha|sam_gov|usaspending|water_epa,7,,Y,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y
CORNING,Corning,capitol_trade|dol_whd|ida_ny|osha|sam_gov|usaspending|water_epa,7,Y,,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y
EXXON MOBIL,Exxon Mobil Corp.,capitol_trade|dol_whd|msha|oge_trade|osha|usaspending|water_epa,7,,,,,,Y,,Y,Y,,,,,Y,,Y,Y,,,Y
GENERAL ELECTRIC COMPANY,General Electric Company,dol_whd|ida_ny|ida_oh|msha|osha|sam_gov|usaspending,7,Y,Y,,,,,,,,,,,,Y,,Y,Y,,Y,Y
GENERAL MOTORS,"""General Motors, LLC""",capitol_trade|dol_whd|ida_ny|ida_oh|osha|sam_gov|usaspending,7,Y,Y,,,,,,Y,,,,,,Y,,Y,,,Y,Y
HONEYWELL INTERNATIONAL,"Honeywell International, Inc.",capitol_trade|dol_whd|oge_trade|osha|sam_gov|usaspending|water_epa,7,,,,,,Y,,Y,Y,,,,,Y,,Y,,,Y,Y
JEFFERSON COUNTY,JEFFERSON COUNTY,dol_whd|msha|opioid|opioid_vendor|osha|usaspending|water_epa,7,,,,,,,,,Y,Y,,Y,,Y,,Y,Y,,,Y
PARKER HANNIFIN,PARKER HANNIFIN,capitol_trade|dol_whd|ida_oh|osha|sam_gov|usaspending|water_epa,7,,Y,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y
PPG INDUSTRIES,PPG INDUSTRIES,capitol_trade|dol_whd|ida_oh|msha|osha|usaspending|water_epa,7,,Y,,,,,,Y,Y,,,,,Y,,Y,Y,,,Y
UNITED PARCEL SERVICE,UNITED PARCEL SERVICE,capitol_trade|dol_whd|ida_oh|osha|sam_gov|usaspending|water_epa,7,,Y,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y
AT T,AT&T,capitol_trade|dol_whd|oge_trade|osha|usaspending|water_epa,6,,,,,,Y,,Y,Y,,,,,Y,,Y,,,,Y
BARNES JEWISH HOSPITAL,BARNES JEWISH HOSPITAL,dol_whd|hrsa_340b|nursing_home|sam_gov|usaspending|water_epa,6,,,Y,,,,,,Y,,Y,,,Y,,,,,Y,Y
CARDINAL HEALTH,CARDINAL HEALTH,capitol_trade|dol_whd|ida_oh|opioid|usaspending|water_epa,6,,Y,,,,,,Y,Y,Y,,,,Y,,,,,,Y
CARGILL,"Cargill, Inc.",dol_whd|ida_ny|msha|osha|usaspending|water_epa,6,Y,,,,,,,,Y,,,,,Y,,Y,Y,,,Y
CINTAS,Cintas Corporation,capitol_trade|dol_whd|ida_ny|ida_oh|osha|usaspending,6,Y,Y,,,,,,Y,,,,,,Y,,Y,,,,Y
CITY OF HOUSTON,CITY OF HOUSTON,capitol_trade|dol_whd|opioid|sam_gov|usaspending|water_epa,6,,,,,,,,Y,Y,Y,,,,Y,,,,,Y,Y
CITY OF PORTLAND,CITY OF PORTLAND,dol_whd|nursing_home|opioid|osha|sam_gov|usaspending,6,,,Y,,,,,,,Y,,,,Y,,Y,,,Y,Y
CORNELL UNIVERSITY,Cornell University,dol_whd|ida_ny|nih_exporter|osha|sam_gov|usaspending,6,Y,,,,,,,,,,,,,Y,Y,Y,,,Y,Y
COUNTY OF SANTA CLARA,COUNTY OF SANTA CLARA,dol_whd|hrsa_340b|nursing_home|osha|sam_gov|usaspending,6,,,Y,,,,,,,,Y,,,Y,,Y,,,Y,Y
CSX TRANSPORTATION,CSX TRANSPORTATION,dol_whd|ida_oh|osha|sam_gov|usaspending|water_epa,6,,Y,,,,,,,Y,,,,,Y,,Y,,,Y,Y
CUMMINS,Cummins Inc.,capitol_trade|dol_whd|ida_ny|sam_gov|usaspending|water_epa,6,Y,,,,,,,Y,Y,,,,,Y,,,,,Y,Y
FEDEX,FedEx,capitol_trade|dol_whd|ida_ny|ida_oh|oge_trade|sam_gov,6,Y,Y,,,,Y,,Y,,,,,,Y,,,,,Y,
FERGUSON ENTERPRISES,Ferguson Enterprises,dol_whd|ida_ny|ida_oh|osha|usaspending|water_epa,6,Y,Y,,,,,,,Y,,,,,Y,,Y,,,,Y
FORD MOTOR,FORD MOTOR,capitol_trade|dol_whd|ida_oh|oge_trade|osha|usaspending,6,,Y,,,,Y,,Y,,,,,,Y,,Y,,,,Y
