state,county_name,population,total_hospitals,religious_hospitals,is_religious_only_er,religious_hospital_names,funded_hospital_names,parent_system,denomination,affiliation_confidence,has_emergency_services,beds,medicare_gross_rev,medicaid_gross_rev,public_funding_total,charity_care_cost,mergerwatch_restrictions,hcris_matched,analysis_notes
KY,MC CRACKEN,0,2,2,True,MERCY HEALTH - LOURDES HOSPITAL|BAPTIST HEALTH PADUCAH,BAPTIST HEALTH PADUCAH|MERCY HEALTH - LOURDES HOSPITAL,Trinity Health,BAPTIST,HIGH,True,,1407400109,3034144180,4441544289,,,YES,
OH,MAHONING,227979,5,2,True,ST ELIZABETH YOUNGSTOWN HOSPITAL|HMHP ST ELIZABETH BOARDMAN HEALTH CENTER,ST ELIZABETH YOUNGSTOWN HOSPITAL|HMHP ST ELIZABETH BOARDMAN HEALTH CENTER,,LIKELY_CATHOLIC,HIGH,True,,2192612818,2201710217,4394323035,,,YES,
KY,KENTON,169066,2,1,True,ST ELIZABETH EDGEWOOD,ST ELIZABETH EDGEWOOD,,LIKELY_CATHOLIC,HIGH,True,,1385493596,1998688090,3384181686,,,YES,
CA,KINGS,152515,1,1,True,ADVENTIST HEALTH HANFORD,ADVENTIST HEALTH HANFORD,Adventist Health,ADVENTIST,HIGH,True,,592112519,1232747457,1824859976,,,YES,
WV,OHIO,42224,1,1,True,"WHEELING HOSPITAL, INC","WHEELING HOSPITAL, INC",,UNKNOWN_RELIGIOUS,HIGH,True,,539538793,1164149835,1703688628,,,YES,
CA,TUOLUMNE,54993,1,1,False,ADVENTIST HEALTH SONORA,ADVENTIST HEALTH SONORA,Adventist Health,ADVENTIST,HIGH,False,,482500067,1139175086,1621675153,,,YES,
WA,COWLITZ,110621,1,1,True,PEACEHEALTH ST JOHN MEDICAL CENTER,PEACEHEALTH ST JOHN MEDICAL CENTER,,CATHOLIC,HIGH,True,,463518148,949533998,1413052146,,,YES,
GA,GORDON,57785,1,1,False,ADVENTHEALTH GORDON,ADVENTHEALTH GORDON,AdventHealth,ADVENTIST,HIGH,False,,364988677,963819917,1328808594,,,YES,
TN,TIPTON,61116,1,1,True,BAPTIST MEMORIAL HOSPITAL TIPTON,BAPTIST MEMORIAL HOSPITAL TIPTON,,BAPTIST,HIGH,True,,39962651,998274123,1038236774,,,YES,
OH,CLERMONT,208851,1,1,True,MERCY HEALTH - CLERMONT HOSPITAL,MERCY HEALTH - CLERMONT HOSPITAL,Trinity Health,CATHOLIC,HIGH,True,,339872644,510307612,850180256,,,YES,
CA,TEHAMA,65484,1,1,False,ST ELIZABETH COMMUNITY HOSPITAL,ST ELIZABETH COMMUNITY HOSPITAL,,LIKELY_CATHOLIC,HIGH,False,,212402223,482247246,694649469,,,YES,
MI,WEXFORD,33766,1,1,True,MUNSON HEALTHCARE CADILLAC HOSPITAL,MUNSON HEALTHCARE CADILLAC HOSPITAL,,UNKNOWN_RELIGIOUS,HIGH,True,,76755918,617361312,694117230,,,YES,
IL,KNOX,49751,1,1,True,ST MARY MEDICAL CENTER,ST MARY MEDICAL CENTER,SSM Health,CATHOLIC,HIGH,True,,186021763,502117809,688139572,,,YES,
IN,MORGAN,71757,1,1,True,FRANCISCAN HEALTH MOORESVILLE,FRANCISCAN HEALTH MOORESVILLE,,CATHOLIC,HIGH,True,,125060564,469673279,594733843,,,YES,
VA,HANOVER,110513,1,1,True,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,,CATHOLIC,HIGH,True,,253454482,255961254,509415736,,,YES,
KY,HENDERSON,44770,1,1,True,DEACONESS HENDERSON HOSPITAL,DEACONESS HENDERSON HOSPITAL,,METHODIST,HIGH,True,,154259540,350175757,504435297,,,YES,
IL,EFFINGHAM,34594,1,1,True,ST ANTHONYS MEMORIAL HOSPITAL,ST ANTHONYS MEMORIAL HOSPITAL,,LIKELY_CATHOLIC,HIGH,True,,101527897,393592310,495120207,,,YES,
CO,SUMMIT,30955,1,1,True,ST ANTHONY SUMMIT MEDICAL CENTER,ST ANTHONY SUMMIT MEDICAL CENTER,,LIKELY_CATHOLIC,HIGH,True,,76759409,367737860,444497269,,,YES,
VA,CHESTERFIELD,366019,1,1,True,BON SECOURS ST FRANCIS MEDICAL CENTER,BON SECOURS ST FRANCIS MEDICAL CENTER,,CATHOLIC,HIGH,True,,175161689,268780645,443942334,,,YES,
MN,BECKER,35202,1,1,False,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,,LIKELY_CATHOLIC,HIGH,False,,62473105,361236938,423710043,,,YES,
MO,LACLEDE,36060,1,1,True,MERCY HOSPITAL LEBANON,MERCY HOSPITAL LEBANON,Mercy,CATHOLIC,HIGH,True,,40862804,364983816,405846620,,,YES,
MI,DELTA,36839,1,1,True,OSF ST FRANCIS HOSPITAL AND MEDICAL GROUP,OSF ST FRANCIS HOSPITAL AND MEDICAL GROUP,,CATHOLIC,HIGH,True,,46109938,350022589,396132527,,,YES,
OH,SENECA,55062,3,1,True,MERCY HEALTH - TIFFIN HOSPITAL,MERCY HEALTH - TIFFIN HOSPITAL,Trinity Health,CATHOLIC,HIGH,True,,90219268,283606755,373826023,,,YES,
KS,FINNEY,38187,1,1,True,ST. CATHERINE HOSPITAL - GARDEN CITY,ST. CATHERINE HOSPITAL - GARDEN CITY,,LIKELY_CATHOLIC,HIGH,True,,102710340,239990681,342701021,,,YES,
TN,CAMPBELL,39397,1,1,True,LAFOLLETTE MEDICAL CENTER,LAFOLLETTE MEDICAL CENTER,,UNKNOWN_RELIGIOUS,HIGH,True,,104051288,218465210,322516498,,,YES,
WI,LANGLADE,19512,1,1,True,LANGLADE HOSPITAL,LANGLADE HOSPITAL,,UNKNOWN_RELIGIOUS,HIGH,True,,37642128,280424422,318066550,,,YES,
KY,CLAY,20322,1,1,True,AdventHealthManchester,ADVENTHEALTHMANCHESTER,AdventHealth,ADVENTIST,HIGH,True,,66286023,248141490,314427513,,,YES,
IL,LIVINGSTON,35771,1,1,False,SAINT JAMES HOSPITAL,SAINT JAMES HOSPITAL,,CATHOLIC,HIGH,False,,47392352,249289393,296681745,,,YES,
MI,CRAWFORD,13197,1,1,True,MUNSON HEALTHCARE GRAYLING HOSPITAL,MUNSON HEALTHCARE GRAYLING HOSPITAL,,UNKNOWN_RELIGIOUS,HIGH,True,,52247231,224336161,276583392,,,YES,
OR,HOOD RIVER,23965,1,1,True,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,,CATHOLIC,HIGH,True,,35685308,222742442,258427750,,,YES,
KS,CHEROKEE,19380,2,1,True,MERCY HOSPITAL COLUMBUS,MERCY SPECIALTY HOSPITAL SOUTHEAST KANSAS|MERCY HOSPITAL COLUMBUS,Mercy,CATHOLIC,LOW,False,,34717689,207970923,242688612,,,YES,
IN,MONTGOMERY,38018,1,1,True,FRANCISCAN HEALTH CRAWFORDSVILLE,FRANCISCAN HEALTH CRAWFORDSVILLE,,CATHOLIC,HIGH,True,,42448621,194407854,236856475,,,YES,
OR,TILLAMOOK,27345,1,1,True,ADVENTIST HEALTH TILLAMOOK,ADVENTIST HEALTH TILLAMOOK,Adventist Health,ADVENTIST,HIGH,True,,31824320,185341352,217165672,,,YES,
IL,CLINTON,36998,1,1,True,ST JOSEPHS HOSPITAL,ST JOSEPHS HOSPITAL,,LIKELY_CATHOLIC,HIGH,True,,37316235,176846861,214163096,,,YES,
OR,MALHEUR,31538,1,1,True,SAINT ALPHONSUS MEDICAL CENTER ONTARIO,SAINT ALPHONSUS MEDICAL CENTER ONTARIO,,CATHOLIC,HIGH,True,,44570884,159294052,203864936,,,YES,
IL,BUREAU,33203,1,1,True,OSF SAINT CLARE MEDICAL CENTER,OSF SAINT CLARE MEDICAL CENTER,,CATHOLIC,HIGH,True,,12721645,172981282,185702927,,,YES,
WA,STEVENS,46774,2,2,True,PROVIDENCE ST JOSEPH HOSPITAL|PROVIDENCE MOUNT CARMEL HOSPITAL,PROVIDENCE MOUNT CARMEL HOSPITAL|PROVIDENCE ST JOSEPH HOSPITAL,,CATHOLIC,HIGH,True,,24480238,160596857,185077095,,,YES,
AK,KETCHIKAN GATEWAY,13910,1,1,True,PEACEHEALTH KETCHIKAN MEDICAL CENTER,PEACEHEALTH KETCHIKAN MEDICAL CENTER,,CATHOLIC,HIGH,True,,46175302,134070526,180245828,,,YES,
AL,CHILTON,45140,1,1,True,ST VINCENT'S CHILTON,ST VINCENT'S CHILTON,,LIKELY_CATHOLIC,HIGH,True,,14416772,158992128,173408900,,,YES,
ND,STARK,32989,1,1,True,CHI ST ALEXIUS HEALTH DICKINSON,CHI ST ALEXIUS HEALTH DICKINSON,,CATHOLIC,HIGH,True,,40185619,124912515,165098134,,,YES,
IL,WARREN,16760,1,1,True,OSF HOLY FAMILY MEDICAL CENTER,OSF HOLY FAMILY MEDICAL CENTER,,CATHOLIC,HIGH,True,,13171040,121632618,134803658,,,YES,
MS,PRENTISS,24945,1,1,True,BAPTIST MEMORIAL HOSPITAL BOONEVILLE,BAPTIST MEMORIAL HOSPITAL BOONEVILLE,,BAPTIST,HIGH,True,,40960577,78549561,119510138,,,YES,
