state,county_name,diocese_name,diocese_type,hospital_names,dominant_parent_system,dominant_denomination,is_sole_hospital,is_sole_er,estimated_population,cc_entity,cc_award_total,cc_programs,is_diocese_double_capture,is_state_double_capture,is_catholic_hospital
AK,KETCHIKAN GATEWAY,Archdiocese of Anchorage-Juneau,archdiocese,PEACEHEALTH KETCHIKAN MEDICAL CENTER,,CATHOLIC,True,True,,CATHOLIC SOCIAL SERVICES INC,"53,167,620",10.175|10.443|10.935|14.218|14.235|14.267|64.024|64.033|93.009|93.092|93.566|93.576|93.583,True,True,True
AK,KODIAK ISLAND BOROUGH,Archdiocese of Anchorage-Juneau,archdiocese,PROVIDENCE KODIAK ISLAND MEDICAL CTR,,CATHOLIC,True,True,,CATHOLIC SOCIAL SERVICES INC,"53,167,620",10.175|10.443|10.935|14.218|14.235|14.267|64.024|64.033|93.009|93.092|93.566|93.576|93.583,True,True,True
AL,CHILTON,Diocese of Birmingham,diocese,ST VINCENT'S CHILTON,,UNKNOWN_RELIGIOUS,True,True,,,,,False,False,True
AR,CONWAY,Diocese of Little Rock,diocese,CHI ST VINCENT MORRILTON,,UNKNOWN_RELIGIOUS,True,True,,CATHOLIC CHARITIES OF ARKANSAS  DIOCESES OF L,"150,000",93.566,False,True,True
CA,KINGS,Diocese of Fresno,diocese,ADVENTIST HEALTH HANFORD,Adventist Health,ADVENTIST,True,True,,CATHOLIC CHARITIES OF THE DIOCESE OF FRESNO,"4,879,049",CFDA 94.016,True,True,True
CA,TEHAMA,Diocese of Sacramento,diocese,ST ELIZABETH COMMUNITY HOSPITAL,,UNKNOWN_RELIGIOUS,True,False,,,,,False,True,True
CA,TUOLUMNE,Diocese of Sacramento,diocese,ADVENTIST HEALTH SONORA,Adventist Health,ADVENTIST,True,False,,,,,False,True,True
CO,SUMMIT,Archdiocese of Denver,archdiocese,ST ANTHONY SUMMIT MEDICAL CENTER,,UNKNOWN_RELIGIOUS,True,True,,"CATHOLIC CHARITIES AND COMMUNITY SERVICES OF THE ARCHDIOCESE OF DENVER, INC","27,769,709",CFDA 64.024|CFDA 93.600,True,True,True
GA,GORDON,Archdiocese of Atlanta,archdiocese,ADVENTHEALTH GORDON,AdventHealth,ADVENTIST,True,False,,"CATHOLIC CHARITIES OF THE ARCHDIOCESE OF ATLANTA, INC.","159,428",CFDA 97.010,True,False,False
IA,ADAMS,Diocese of Des Moines,diocese,CHI HEALTH - MERCY CORNING,,CATHOLIC,True,True,,,,,False,False,True
IA,CHICKASAW,Archdiocese of Dubuque,archdiocese,MERCY MEDICAL CENTER-NEW HAMPTON,,CATHOLIC,True,True,,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF DUBUQUE,"1,843,434",CFDA 14.195,True,False,True
