facility_name,opcert,ccn,city,is_religious,match_type,confidence,parent_system,denomination,is_sole_county,total_discharges,ob_discharges,csection_count,PGN008_count,FRS005_count,FRS003_count,FRS001_count,PGN008_rate_per1k,FRS005_rate_per1k,FRS003_rate_per1k,FRS001_rate_per1k
A.O. Fox Memorial Hospital,3801000,,,False,,,,,,2525,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Adirondack Medical Center-Saranac Lake Site,1623001,,,False,,,,,,4401,416,118,0,0,0,1,0.0,0.0,0.0,0.23
Albany Medical Center - South Clinical Campus,0101000,,,False,,,,,,71339,5166,1893,0,14,15,116,0.0,2.71,2.9,1.63
Arnot Ogden Medical Center,0701000,,,False,,,,,,17788,2112,702,0,4,2,7,0.0,1.89,0.95,0.39
Auburn Community Hospital,0501000,,,False,,,,,,9699,725,223,0,2,1,6,0.0,2.76,1.38,0.62
Bellevue Hospital Center,7002001,,,False,,,,,,56391,3559,891,0,1,29,159,0.0,0.28,8.15,2.82
Bertrand Chaffee Hospital,1427000,,,False,,,,,,1553,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Blythedale Children's Hospital,5957000,,,False,,,,,,881,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Bon Secours Community Hospital,3535001,330135,PORT JERVIS,True,EXACT,HIGH,,CATHOLIC,False,5813,3,0,0,0,0,1,0.0,0.0,0.0,0.17
BronxCare Hospital Center,7000001,,,False,,,,,,50881,3372,1098,0,6,16,235,0.0,1.78,4.74,4.62
Brookdale Hospital Medical Center,7001002,,,False,,,,,,40036,1622,418,0,6,2,108,0.0,3.7,1.23,2.7
Brooklyn Hospital Center - Downtown Campus,7001003,,,False,,,,,,22735,2929,1091,0,1,6,224,0.0,0.34,2.05,9.85
"Brooks-TLC Hospital System, Inc.",0601000,,,False,,,,,,2372,16,3,0,0,0,1,0.0,0.0,0.0,0.42
Buffalo General Medical Center,1401014,,,False,,,,,,106526,13106,4977,0,9,30,164,0.0,0.69,2.29,1.54
Calvary Hospital,7000011,,,False,,,,,,4993,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Canton-Potsdam Hospital,4429000,,,False,,,,,,10056,1268,441,0,0,1,34,0.0,0.0,0.79,3.38
Carthage Area Hospital Inc,2238700,,,False,,,,,,2519,777,162,0,0,0,0,0.0,0.0,0.0,0.0
Cayuga Medical Center at Ithaca,5401001,,,False,,,,,,11315,1570,399,0,0,0,2,0.0,0.0,0.0,0.18
Chenango Memorial Hospital Inc,0824000,,,False,,,,,,2591,416,96,0,1,2,32,0.0,2.4,4.81,12.35
Claxton-Hepburn Medical Center,4401000,,,False,,,,,,4242,209,90,0,0,0,1,0.0,0.0,0.0,0.24
Clifton Springs Hospital and Clinic,3421000,,,False,,,,,,5836,15,6,0,0,0,1,0.0,0.0,0.0,0.17
