state_code,county_fips,total_apps,originations,denials,denial_rate,denial_rate_white,denial_rate_black,denial_rate_hispanic,disparity_ratio_black,disparity_ratio_hispanic,white_apps,black_apps,hispanic_apps
KS,20131,103,99.0,4.0,0.0388,0.023,1.0,,43.5,,87.0,1.0,0.0
WI,55103,182,167.0,15.0,0.0824,0.0692,1.0,0.0,14.45,0.0,159.0,1.0,3.0
MN,27081,79,72.0,7.0,0.0886,0.0769,1.0,1.0,13.0,13.0,65.0,1.0,1.0
GA,13037,74,33.0,41.0,0.5541,0.0667,0.8125,,12.19,,15.0,48.0,0.0
MN,27055,272,250.0,22.0,0.0809,0.0833,1.0,0.0,12.0,0.0,240.0,1.0,2.0
IN,18159,200,178.0,22.0,0.11,0.0857,1.0,0.0,11.67,0.0,175.0,1.0,3.0
MN,27033,113,99.0,14.0,0.1239,0.0909,1.0,0.125,11.0,1.38,99.0,1.0,8.0
IA,19027,147,138.0,9.0,0.0612,0.0469,0.5,0.1667,10.67,3.56,128.0,2.0,6.0
MI,26143,504,443.0,61.0,0.121,0.0995,1.0,0.0,10.05,0.0,422.0,1.0,3.0
GA,13281,241,213.0,28.0,0.1162,0.1,1.0,0.1667,10.0,1.67,200.0,1.0,6.0
TX,48009,136,120.0,16.0,0.1176,0.1009,1.0,0.0909,9.91,0.9,109.0,1.0,11.0
WI,55045,619,557.0,62.0,0.1002,0.1011,1.0,0.0833,9.89,0.82,534.0,1.0,12.0
IL,17057,479,427.0,52.0,0.1086,0.107,1.0,0.3333,9.35,3.12,430.0,1.0,3.0
IN,18087,625,533.0,92.0,0.1472,0.1115,1.0,0.3077,8.97,2.76,565.0,1.0,13.0
WI,55077,332,291.0,41.0,0.1235,0.113,1.0,0.3333,8.85,2.95,301.0,1.0,3.0
WI,55047,284,250.0,34.0,0.1197,0.1139,1.0,0.2,8.78,1.76,237.0,1.0,10.0
GA,13133,519,470.0,49.0,0.0944,0.0483,0.4182,0.0769,8.66,1.59,352.0,55.0,13.0
MO,29053,251,234.0,17.0,0.0677,0.0583,0.5,0.3333,8.58,5.72,206.0,4.0,3.0
OH,39171,551,482.0,69.0,0.1252,0.1175,1.0,0.2941,8.51,2.5,502.0,2.0,17.0
TX,48115,87,74.0,13.0,0.1494,0.1186,1.0,0.1143,8.43,0.96,59.0,1.0,35.0
WI,55095,729,641.0,88.0,0.1207,0.1186,1.0,0.1429,8.43,1.2,607.0,1.0,7.0
CO,08047,133,112.0,21.0,0.1579,0.1212,1.0,0.0,8.25,0.0,99.0,1.0,3.0
OR,41027,172,148.0,24.0,0.1395,0.1221,1.0,0.2,8.19,1.64,131.0,2.0,20.0
MN,27077,58,52.0,6.0,0.1034,0.0625,0.5,0.0,8.0,0.0,48.0,4.0,1.0
MO,29117,176,154.0,22.0,0.125,0.1258,1.0,0.5,7.95,3.98,159.0,1.0,2.0
KS,20031,103,87.0,16.0,0.1553,0.1266,1.0,0.0,7.9,0.0,79.0,1.0,2.0
MI,26119,164,142.0,22.0,0.1341,0.1293,1.0,0.0,7.74,0.0,147.0,1.0,2.0
