rank,ida_name,county,pay_to_play_score,total_projects,total_exemptions,net_exemptions,total_beneficiaries,num_donor_beneficiaries,donor_rate_pct,total_donations,donor_exemptions,avg_exemption_per_donation_dollar,num_officials_receiving,official_total_received,num_pipelines,jobs_promised,jobs_current,jobs_deficit_pct,concentration_top5_pct,pct_donor_rate,pct_official,pct_concentration,pct_jobs_deficit,pct_dollar_ratio
1,Geneva Industrial Development Agency,Geneva,78.01,55,31805876.13,19903233.29,11,5,45.45,78348.29,16919189.55,215.95,4,15563.29,5,6457,4460,30.93,96.27,94.2,45.6,88.3,89.3,72.8
2,Newburgh Industrial Development Agency,Newburgh,74.9,62,11634646.3,9451010.08,11,3,27.27,365283.7,5926422.87,16.22,11,204750.0,12,757,170,77.54,99.71,63.1,84.5,91.3,97.1,20.4
3,Hempstead Industrial Development Agency,Hempstead,74.22,605,666504013.0,373307095.8,115,50,43.48,1622882.61,119107697.35,73.39,23,760885.48,100,89871,80046,10.93,59.53,91.7,98.1,33.0,70.9,49.5
4,Niagara County Industrial Development Agency,Niagara,73.5,1082,173290027.0,108764167.0,190,86,45.26,1137392.0,66602086.49,58.56,31,543539.38,116,72235,54189,24.98,54.91,93.2,95.1,25.2,85.4,38.8
5,Schoharie County Industrial Development Agency,Schoharie,72.18,50,71827609.38,25681484.95,8,6,75.0,155796.0,25052535.9,160.8,9,26475.0,12,3590,5176,0,99.76,99.5,52.4,92.2,27.2,67.0
6,Port Jervis Industrial Development Agency,Port Jervis,71.82,14,1030367.77,239459.67,2,1,50.0,500.0,119753.28,239.51,0,0.0,0,840,499,40.6,100.0,96.6,7.3,99.5,90.3,75.7
7,Ulster County Industrial Development Agency,Ulster,69.22,250,59528993.1,32999406.55,41,23,56.1,511858.93,20069254.61,39.21,19,156721.5,39,20533,20309,1.09,69.02,98.1,80.6,41.7,55.3,30.1
8,Mount Vernon Industrial Development Agency,Mount Vernon,68.88,160,49178659.1,35830281.93,24,8,33.33,150099.0,6716967.12,44.75,5,92750.0,7,9935,4262,57.1,68.92,82.0,73.8,40.8,95.1,34.0
9,Delaware County Industrial Development Agency,Delaware,68.16,82,14267691.41,5359900.54,13,4,30.77,40181.42,8749425.28,217.75,5,24464.0,8,3769,3435,8.86,92.05,75.2,50.5,77.7,67.0,73.8
10,Wallkill Industrial Development Agency,Wallkill,67.06,23,3085964.29,2102168.53,5,2,40.0,1150.0,1858385.44,1615.99,0,0.0,0,1840,1735,5.71,100.0,88.8,7.3,95.6,65.0,97.1
11,Cattaraugus Industrial Development Agency,Cattaraugus,66.55,397,78911287.65,72025174.85,73,21,28.77,192865.46,36359268.26,188.52,17,214764.92,30,23290,27356,0,83.46,69.9,86.4,65.0,27.2,68.9
12,Cohoes Industrial Development Agency,Cohoes,66.26,101,27563473.25,13551770.84,19,7,36.84,12310.07,7778749.05,631.9,4,1125.0,5,1479,562,62.0,76.43,87.4,23.3,53.4,96.1,91.3
13,Franklin County Industrial Development Agency,Franklin,65.78,89,50775438.74,42552204.99,20,5,25.0,6275.0,27081341.93,4315.75,1,1650.0,2,1596,846,46.99,97.29,56.8,28.2,89.3,92.2,100.0
14,Schenectady County Industrial Development Agency,Schenectady,65.53,171,82148067.58,23494894.96,33,12,36.36,230200.23,11448237.57,49.73,8,72449.23,14,45988,40446,12.05,68.62,86.4,68.9,39.8,72.8,35.0
15,Rensselaer County Industrial Development Agency,Rensselaer,65.34,438,292907370.1,222375066.02,74,21,28.38,370050.29,174792226.26,472.35,17,218392.36,34,36451,52827,0,77.63,65.0,87.4,55.3,27.2,88.3
16,Seneca County Industrial Development Agency,Seneca,64.22,219,40128490.97,23914525.34,49,16,32.65,309817.43,22357763.82,72.16,14,118000.0,27,17339,19816,0,79.51,80.6,78.6,57.3,27.2,48.5
17,Town of Lockport Industrial Development Agency,Lockport (Town),63.59,126,31354404.17,28425242.0,22,7,31.82,70664.58,21885389.19,309.71,7,20767.5,8,4764,4994,0,93.6,77.7,48.5,79.6,27.2,81.6
18,Greene County Industrial Development Agency,Greene,63.4,93,221345118.6,169501369.6,21,6,28.57,332018.0,8050249.82,24.25,8,193650.0,12,7953,9058,0,93.09,68.0,83.5,78.6,27.2,23.3
19,Mechanicville-Stillwater Industrial Development Agency,Mechanicville-Stillwater,61.89,41,6821074.86,4930497.85,5,2,40.0,34712.0,102512.01,2.95,3,6275.0,3,8609,9359,0,100.0,88.8,40.8,99.5,27.2,10.7
20,Orange County Industrial Development Agency,Orange,61.84,342,174747112.55,101208352.67,66,17,25.76,133262.0,52341280.51,392.77,7,61280.0,11,71512,58020,18.87,58.75,60.2,67.0,32.0,80.6,85.4
21,Peekskill Industrial Development Agency,Peekskill,61.46,78,32251539.96,24319523.21,13,4,30.77,546564.65,11598522.38,21.22,12,367135.5,14,2880,3046,0,71.93,75.2,92.2,47.6,27.2,22.3
22,Clarence Industrial Development Agency,Clarence,61.12,245,8023895.0,3100057.0,51,24,47.06,165922.83,1452168.58,8.75,13,42476.6,38,15090,11181,25.9,41.3,95.1,62.1,13.6,86.4,13.6
23,City of Schenectady Industrial Development Agency,Schenectady (City),60.44,229,76395287.53,37310711.59,40,14,35.0,104454.47,16137572.91,154.49,11,93967.67,23,17799,17850,0,57.45,84.5,74.8,29.1,27.2,65.0
24,Green Island Industrial Development Agency,Green Island,60.15,22,6782666.0,4433126.0,4,2,50.0,10072.0,38646.0,3.84,2,1500.0,2,312,405,0,100.0,96.6,27.2,95.6,27.2,11.7
25,Concord Industrial Development Agency,Concord,59.13,7,146915.0,17210.18,4,3,75.0,3728.0,33282.67,8.93,1,250.0,1,284,389,0,100.0,99.5,18.4,95.6,27.2,14.6
26,Erie County Industrial Development Agency,Erie,58.79,1390,213786203.27,125727095.15,237,96,40.51,1633412.86,48947283.93,29.97,21,579752.34,141,160533,311306,0,30.7,90.3,96.1,4.9,27.2,26.2
27,Chautauqua Industrial Development Agency,Chautauqua,58.59,385,169002774.99,154277148.95,80,17,21.25,168089.52,69317282.62,412.38,12,40774.0,21,25143,22162,11.86,76.16,44.7,61.2,52.4,71.8,86.4
28,Port Chester Industrial Development Agency,Port Chester,58.11,92,30359267.97,11913284.54,16,3,18.75,31460.01,6137965.33,195.1,2,6125.0,2,8093,3737,53.82,94.25,36.4,38.8,82.5,93.2,69.9
29,Rockland County Industrial Development Agency,Rockland,58.06,313,191221362.58,109702700.78,72,22,30.56,1535895.91,21850231.07,14.23,16,397515.65,34,23780,24094,0,64.56,71.8,93.2,37.9,27.2,15.5
