corridor,source_state,dest_state,count,source_region,dest_region
WV→MI,WV,MI,27,South,Midwest
NJ→NY,NJ,NY,21,Northeast,Northeast
PA→NY,PA,NY,18,Northeast,Northeast
NJ→PA,NJ,PA,11,Northeast,Northeast
WV→PA,WV,PA,11,South,Northeast
PA→OH,PA,OH,9,Northeast,Midwest
NY→NJ,NY,NJ,9,Northeast,Northeast
TX→LA,TX,LA,9,South,South
CA→NV,CA,NV,9,West,West
LA→TX,LA,TX,9,South,South
KY→MI,KY,MI,8,South,Midwest
KY→OH,KY,OH,8,South,Midwest
FL→NY,FL,NY,8,South,Northeast
FL→PR,FL,PR,8,South,Other
PA→NJ,PA,NJ,7,Northeast,Northeast
FL→LA,FL,LA,7,South,South
WV→OH,WV,OH,7,South,Midwest
KY→IL,KY,IL,6,South,Midwest
SC→FL,SC,FL,6,South,South
IL→MO,IL,MO,6,Midwest,Midwest
KY→TN,KY,TN,6,South,South
NV→CA,NV,CA,6,West,West
GA→FL,GA,FL,5,South,South
FL→GA,FL,GA,5,South,South
WV→VA,WV,VA,5,South,South
FL→MI,FL,MI,5,South,Midwest
CO→CA,CO,CA,5,West,West
KS→MO,KS,MO,5,Midwest,Midwest
AL→FL,AL,FL,5,South,South
PA→WV,PA,WV,4,Northeast,South
FL→NJ,FL,NJ,4,South,Northeast
WV→KY,WV,KY,4,South,South
GA→AL,GA,AL,4,South,South
PA→CT,PA,CT,4,Northeast,Northeast
FL→PA,FL,PA,4,South,Northeast
WV→NY,WV,NY,4,South,Northeast
OR→CA,OR,CA,4,West,West
IL→IN,IL,IN,4,Midwest,Midwest
MA→NY,MA,NY,4,Northeast,Northeast
AZ→CA,AZ,CA,4,West,West
WV→NC,WV,NC,4,South,South
AL→LA,AL,LA,4,South,South
OH→KY,OH,KY,4,Midwest,South
CT→NY,CT,NY,4,Northeast,Northeast
MA→CT,MA,CT,3,Northeast,Northeast
AR→AL,AR,AL,3,South,South
MN→NY,MN,NY,3,Midwest,Northeast
PA→VA,PA,VA,3,Northeast,South
AL→TX,AL,TX,3,South,South
OR→WA,OR,WA,3,West,West
AL→MS,AL,MS,3,South,South
CA→WA,CA,WA,3,West,West
OH→MI,OH,MI,3,Midwest,Midwest
FL→OH,FL,OH,3,South,Midwest
TX→AR,TX,AR,3,South,South
NC→TX,NC,TX,3,South,South
SC→KY,SC,KY,3,South,South
WA→CA,WA,CA,3,West,West
TX→CA,TX,CA,3,South,West
FL→AL,FL,AL,3,South,South
NC→SC,NC,SC,3,South,South
MO→IL,MO,IL,3,Midwest,Midwest
FL→TN,FL,TN,3,South,South
TX→CO,TX,CO,3,South,West
WA→OR,WA,OR,3,West,West
LA→AL,LA,AL,3,South,South
IN→IL,IN,IL,3,Midwest,Midwest
MD→VA,MD,VA,3,South,South
CA→FL,CA,FL,3,West,South
AL→TN,AL,TN,2,South,South
NJ→FL,NJ,FL,2,Northeast,South
MA→MI,MA,MI,2,Northeast,Midwest
CA→MD,CA,MD,2,West,South
WI→IL,WI,IL,2,Midwest,Midwest
LA→TN,LA,TN,2,South,South
MN→IL,MN,IL,2,Midwest,Midwest
KY→GA,KY,GA,2,South,South
WA→ID,WA,ID,2,West,West
AL→GA,AL,GA,2,South,South
CA→NY,CA,NY,2,West,Northeast
SC→GA,SC,GA,2,South,South
NC→PA,NC,PA,2,South,Northeast
