rank,school_district_geoid,school_district_name,school_district_type,county,beds_code,ida_names,num_projects,unique_beneficiaries,total_school_exemption,total_school_pilot_due,total_school_pilot_made,total_school_revenue_lost,annual_school_revenue_lost,pilot_shortfall,total_levy,enrollment,per_pupil_spending,total_budget,true_value_rate,exemption_pct_of_levy,per_pupil_impact,annual_per_pupil_impact,pct_per_pupil_spending,num_donor_beneficiaries,total_donated_from_district,donor_rate,top_beneficiary,top_beneficiary_loss,top_beneficiary_donated,earliest_project,latest_project,st3_matched,flag_high_impact,flag_high_per_pupil,flag_donor_connected,headline
1,UNKNOWN,,error,,,Albany City Industrial Development Agency|Albany County Industrial Development Agency|Allegany Industrial Development Agency|Amherst Industrial Development Agency|Amsterdam Industrial Development Agency|Auburn Industrial Development Agency|Babylon Industrial Development Agency|Bethlehem Industrial Development Agency|Brookhaven Industrial Development Agency|Broome Industrial Development Agency|Cattaraugus Industrial Development Agency|Cayuga Industrial Development Agency|Chautauqua Industrial Development Agency|Chemung Industrial Development Agency|Chenango Industrial Development Agency|City of Rensselaer Industrial Development Agency|City of Schenectady Industrial Development Agency|City of Utica Industrial Development Agency|Clarence Industrial Development Agency|Clifton Park Industrial Development Agency|Clinton County Industrial Development Agency|Cohoes Industrial Development Agency|Colonie Industrial Development Agency|Columbia Industrial Development Agency|Concord Industrial Development Agency|Cortland Industrial Development Agency|Delaware County Industrial Development Agency|Dutchess County Industrial Development Agency|Erie County Industrial Development Agency|Essex County Industrial Development Agency|Fairport Industrial Development Agency|Franklin County Industrial Development Agency|Fulton County Industrial Development Agency|Genesee County Industrial Development Agency|Geneva Industrial Development Agency|Glen Cove Industrial Development Agency|Green Island Industrial Development Agency|Greene County Industrial Development Agency|Guilderland Industrial Development Agency|Hamburg Industrial Development Agency|Hempstead Industrial Development Agency|Herkimer Industrial Development Agency|Hornell Industrial Development Agency|Islip Industrial Development Agency|Jefferson Industrial Development Agency|Lancaster Industrial Development Agency|Lewis County Industrial Development Agency|Livingston County Industrial Development Agency|Madison County Industrial Development Agency|Mechanicville-Stillwater Industrial Development Agency|Monroe Industrial Development Agency|Montgomery County Industrial Development Agency|Mount Pleasant Industrial Development Agency|Mount Vernon Industrial Development Agency|Nassau County Industrial Development Agency|New Rochelle Industrial Development Agency|New York City Industrial Development Agency|Newburgh Industrial Development Agency|Niagara County Industrial Development Agency|Niagara Town Industrial Development Agency|Oneida County Industrial Development Agency|Onondaga County Industrial Development Agency|Ontario County Industrial Development Agency|Orange County Industrial Development Agency|Orleans County Industrial Development Agency|Oswego County Industrial Development Agency|Otsego County Industrial Development Agency|Peekskill Industrial Development Agency|Port Chester Industrial Development Agency|Poughkeepsie Industrial Development Agency|Putnam County Industrial Development Agency|Rensselaer County Industrial Development Agency|Riverhead Industrial Development Agency|Rockland County Industrial Development Agency|Saratoga County Industrial Development Agency|Schenectady County Industrial Development Agency|Schoharie County Industrial Development Agency|Schuyler County Industrial Development Agency|Seneca County Industrial Development Agency|St. Lawrence County Industrial Development Agency|Steuben County Industrial Development Agency|Suffolk County Industrial Development Agency|Sullivan County Industrial Development Agency|Syracuse Industrial Development Agency|Tioga County Industrial Development Agency|Tompkins County Industrial Development Agency|Town of Lockport Industrial Development Agency|Town of Montgomery Industrial Development Agency|Troy Industrial Development Authority|Ulster County Industrial Development Agency|Wallkill Industrial Development Agency|Warren and Washington Counties Industrial Development Agency|Wayne County Industrial Development Agency|Westchester County Industrial Development Agency|Wyoming County Industrial Development Agency|Yates County Industrial Development Agency|Yonkers Industrial Development Agency,8197,1550,1880930450.14,882556911.62,882158608.5,1030422108.4,1030422108.4,1375486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430,11294696.68,27.74,PO BOX 349,107872735.0,0.0,01/01/1982,12/31/2007,No,No,No,Yes," lost $1,030,422,108 in school property taxes because 8197 IDA project(s) received exemptions. The largest beneficiary accounts for $107,872,735."
2,3609210,Dover Union Free School District,unified,027,130502,Dutchess County Industrial Development Agency,9,2,134825127.51,15024712.86,15024712.86,121893065.6,121893065.6,0.0,18231231.0,1381.0,27001.64,37289271.0,0.0,668.5948,88264.35,88264.35,326.8851,0,0.0,0.0,CRICKET VALLEY ENERGY CENTER,121893065.6,0.0,01/09/2017,11/13/2024,Yes,Yes,Yes,No,"Dover Union Free School District lost $121,893,066 in school property taxes because 9 IDA project(s) received exemptions. The largest beneficiary accounts for $121,893,066."
3,3631920,Yonkers City School District,unified,119,,Poughkeepsie Industrial Development Agency|Yonkers Industrial Development Agency,536,91,147971321.85,67256304.05,66255547.91,83173630.43,83173630.43,1273536.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,723421.64,28.57,FC YONKERS,30783034.0,0.0,01/03/2008,12/30/2021,No,No,No,Yes,"Yonkers City School District lost $83,173,630 in school property taxes because 536 IDA project(s) received exemptions. The largest beneficiary accounts for $30,783,034."
4,3629490,Valley Stream Union Free School District 30,elementary,059,280213,Hempstead Industrial Development Agency|Nassau County Industrial Development Agency,52,7,170839484.08,93179078.0,93198035.17,78086234.04,78086234.04,1487.74,38567512.0,1900.0,30813.2,58545088.0,0.0,202.4664,41098.02,41098.02,133.378,3,12325.0,42.86,THE MACERICH COMPANY,75319621.0,0.0,01/28/2016,12/21/2016,Yes,Yes,Yes,Yes,"Valley Stream Union Free School District 30 lost $78,086,234 in school property taxes because 52 IDA project(s) received exemptions. The largest beneficiary accounts for $75,319,621."
5,3619500,Mineola Union Free School District,unified,059,280410,Nassau County Industrial Development Agency,55,12,61076346.45,11872382.93,11878039.95,49198306.5,49198306.5,0.0,84660000.0,2916.0,37725.03,110006200.0,0.0,58.1128,16871.85,16871.85,44.7232,6,33451.5,50.0,MINEOLA PROPERTIES,19498152.84,12500.0,01/18/2013,11/18/2021,Yes,Yes,Yes,Yes,"Mineola Union Free School District lost $49,198,306 in school property taxes because 55 IDA project(s) received exemptions. The largest beneficiary accounts for $19,498,153. That company donated $12,500 to political campaigns while receiving the exemption."
6,3624750,Rochester City School District,unified,055,,Monroe Industrial Development Agency,1132,244,89245248.14,41432062.72,41432071.72,48114383.42,48114383.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,1125556.2,15.98,CT ROCHESTER COLLEGETOWN ROCHESTER,3536246.0,0.0,01/17/2012,12/21/2021,No,No,No,Yes,"Rochester City School District lost $48,114,383 in school property taxes because 1132 IDA project(s) received exemptions. The largest beneficiary accounts for $3,536,246."
7,3620490,New Rochelle City School District,unified,119,661100,New Rochelle Industrial Development Agency|Westchester County Industrial Development Agency,252,50,60752076.85,14455123.65,14406450.42,46448114.01,46448114.01,48673.23,220623478.0,9681.0,30860.55,298760957.0,0.0,21.0531,4797.86,4797.86,15.5469,4,7250.0,8.0,AVALON REDEVELOPMENT,16857201.0,0.0,01/25/2017,12/21/2016,Yes,Yes,Yes,No,"New Rochelle City School District lost $46,448,114 in school property taxes because 252 IDA project(s) received exemptions. The largest beneficiary accounts for $16,857,201."
8,3614130,Hempstead Union Free School District,unified,059,280201,Hempstead Industrial Development Agency|Nassau County Industrial Development Agency,168,32,68516192.01,23517229.6,23641060.19,45203992.82,45203992.82,265.72,75934370.0,6400.0,42923.43,274709957.0,0.0,59.5303,7063.12,7063.12,16.4552,21,1622542.64,65.62,303 MAIN STREET APARTMENT INVESTORS,6134258.0,0.0,01/21/2010,12/21/2016,Yes,Yes,Yes,Yes,"Hempstead Union Free School District lost $45,203,993 in school property taxes because 168 IDA project(s) received exemptions. The largest beneficiary accounts for $6,134,258."
9,3629280,Uniondale Union Free School District,unified,059,280202,Hempstead Industrial Development Agency|Nassau County Industrial Development Agency|Riverhead Industrial Development Agency|Suffolk County Industrial Development Agency,177,28,83504772.93,39042149.08,39252967.04,44377968.39,44377968.39,0.0,127831656.0,6550.0,36010.83,235870966.0,0.0,34.7159,6775.26,6775.26,18.8145,14,1650563.33,50.0,101 UNIONDALE L P,13998193.32,0.0,01/13/2004,12/19/2017,Yes,Yes,Yes,Yes,"Uniondale Union Free School District lost $44,377,968 in school property taxes because 177 IDA project(s) received exemptions. The largest beneficiary accounts for $13,998,193."
10,3602460,Albany City School District,unified,001,010100,Albany City Industrial Development Agency|Albany County Industrial Development Agency|Bethlehem Industrial Development Agency|Colonie Industrial Development Agency|Essex County Industrial Development Agency|Troy Industrial Development Authority|Warren and Washington Counties Industrial Development Agency,615,117,63507941.92,22531206.44,22300689.46,41247419.76,41247419.76,230546.98,122351302.0,7992.0,36055.73,288157361.0,0.0,33.7123,5161.09,5161.09,14.3142,24,444035.0,20.51,ALBANY HOTEL,5555870.71,0.0,01/01/2004,12/28/2021,Yes,Yes,Yes,Yes,"Albany City School District lost $41,247,420 in school property taxes because 615 IDA project(s) received exemptions. The largest beneficiary accounts for $5,555,871."
