state,state_name,LEAID,LEA_NAME,SCH_NAME,phys_instances,secl_instances,total_instances,students_phys,students_secl,instances_per_student,total_2021,ocr_region
NJ,NEW JERSEY,3400005,Morris-Union Jointure Commisson School District,Developmental Learning Center-Warren,1150,1150,2300,70,69,16.546762589928058,784,Metro DC
CT,CONNECTICUT,0900700,Capitol Region Education Council,River Street School,1074,1214,2288,42,32,30.91891891891892,1135,Metro DC
NJ,NEW JERSEY,3480363,Gloucester County Special Services School District,Bankbridge Regional School,1026,238,1264,153,51,6.196078431372549,709,Metro DC
IL,ILLINOIS,1733000,Quincy SD 172,Quincy Sr High School,1252,0,1252,169,0,7.408284023668639,2,Kansas City
MN,MINNESOTA,2700026,INTERMEDIATE SCHOOL DISTRICT 917,917 SUN,617,617,1234,46,31,16.025974025974026,23,Kansas City
VA,VIRGINIA,5101050,CULPEPER CO PBLC SCHS,CULPEPER COUNTY HIGH,1081,0,1081,1,0,1081.0,0,Metro DC
CT,CONNECTICUT,0900910,Cooperative Educational Services,Therapeutic Day Program,607,447,1054,56,40,10.979166666666666,397,Metro DC
IL,ILLINOIS,1740070,Valley View CUSD 365U,Wood View Elem School,624,333,957,21,21,22.785714285714285,87,Kansas City
NJ,NEW JERSEY,3480180,Educational Services Commission of New Jersey,Center for Lifelong Learning,623,321,944,52,35,10.850574712643677,368,Metro DC
OR,OREGON,4110040,Portland SD 1J,Pioneer Schools,865,0,865,65,0,13.307692307692308,32,Seattle
NY,NEW YORK,3680140,BROOME-DELAWARE-TIOGA BOCES,BROOME-DELAWARE-TIOGA BOCES,802,0,802,209,0,3.8373205741626792,355,Metro DC
MO,MISSOURI,2926760,SPECL. SCH. DST. ST. LOUIS CO.,LITZSINGER,113,642,755,29,21,15.1,0,Kansas City
IL,ILLINOIS,1733000,Quincy SD 172,Quincy Jr High School,738,0,738,114,0,6.473684210526316,1,Kansas City
IL,ILLINOIS,1700059,Spec Educ Dist Lake County/Sedol,Gages Lake School,699,0,699,58,0,12.051724137931034,193,Kansas City
TX,TEXAS,4827300,LEWISVILLE ISD,LEARNING CTR,697,0,697,35,0,19.914285714285715,-11,Kansas City
IA,IOWA,1908970,Des Moines Independent Comm School District,Ruby Van Meter,323,347,670,30,26,11.964285714285714,254,Kansas City
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,CENTER FOR AUTISM,388,250,638,39,32,8.985915492957746,131,Metro DC
MN,MINNESOTA,2700025,Intermediate School District 287,Tier Two,632,0,632,101,0,6.257425742574258,254,Kansas City
NJ,NEW JERSEY,3401450,Bergen County Special Services School District,BCSS Autism Continuum,576,44,620,17,8,24.8,27,Metro DC
IL,ILLINOIS,1700227,Bi-County Special Educ Coop,Thome Ed School,76,539,615,23,40,9.761904761904763,56,Kansas City
MN,MINNESOTA,2731800,ROCHESTER PUBLIC SCHOOL DISTRICT,Rochester Phoenix Academy,282,330,612,14,20,18.0,131,Kansas City
AK,ALASKA,0200180,Anchorage School District,Baxter Elementary,131,478,609,7,10,35.8235294117647,83,Seattle
CT,CONNECTICUT,0902400,Meriden School District,Benjamin Franklin School,257,337,594,28,30,10.241379310344827,416,Metro DC
CT,CONNECTICUT,0900070,Area Cooperative Educational Services,ACES Mill Academy,398,177,575,44,32,7.565789473684211,316,Metro DC
ME,MAINE,2314787,RSU 13,South School,272,296,568,17,15,17.75,166,Metro DC
