state,state_name,ocr_region,rs_instances_2122,rs_students_2122,ocr_pending_jan2025,ocr_agreements_2025,zero_agreements_2025,agreement_rate_pct
TX,TEXAS,Kansas City,21673,6235,1180,2,NO,0.17
CT,CONNECTICUT,Metro DC,19430,3096,,0,YES,
WA,WASHINGTON,Seattle,16920,3359,,,,
IL,ILLINOIS,Kansas City,16843,3607,,0,YES,
NJ,NEW JERSEY,Metro DC,12207,2408,,,,
MN,MINNESOTA,Kansas City,12044,2469,,0,YES,
IA,IOWA,Kansas City,11631,2988,,,,
IN,INDIANA,Kansas City,11344,4046,,0,YES,
MI,MICHIGAN,Kansas City,10717,2506,782,4,NO,0.51
WI,WISCONSIN,Kansas City,10455,3655,,0,YES,
OH,OHIO,Kansas City,9550,2728,,,,
MO,MISSOURI,Kansas City,8913,1976,,,,
NY,NEW YORK,Metro DC,8132,2352,627,1,NO,0.16
NE,NEBRASKA,Kansas City,7571,1139,,,,
KS,KANSAS,Kansas City,7186,1288,,,,
TN,TENNESSEE,Atlanta,6745,1114,,0,YES,
VA,VIRGINIA,Metro DC,5787,1192,,,,
PA,PENNSYLVANIA,Metro DC,5296,2075,,,,
ME,MAINE,Metro DC,4921,1439,,,,
GA,GEORGIA,Atlanta,4914,1338,,,,
MA,MASSACHUSETTS,Metro DC,4839,1478,,,,
MD,MARYLAND,Metro DC,4662,1573,,,,
FL,FLORIDA,Atlanta,4621,2080,689,6,NO,0.87
AZ,ARIZONA,Denver,4558,1219,,,,
OR,OREGON,Seattle,4170,1094,,,,
KY,KENTUCKY,Atlanta,3899,1300,,0,YES,
NC,NORTH CAROLINA,Atlanta,3811,872,,,,
CA,CALIFORNIA,Denver,3498,1550,772,7,NO,0.91
UT,UTAH,Denver,2987,668,,0,YES,
CO,COLORADO,Denver,2639,738,,,,
NV,NEVADA,Denver,2444,870,,,,
SD,SOUTH DAKOTA,Kansas City,1801,410,,0,YES,
AK,ALASKA,Seattle,1770,264,,0,YES,
WY,WYOMING,Denver,1718,278,,,,
RI,RHODE ISLAND,Metro DC,1600,321,,,,
DE,DELAWARE,Metro DC,1472,839,,0,YES,
ND,NORTH DAKOTA,Kansas City,1449,462,,0,YES,
VT,VERMONT,Metro DC,1358,489,,0,YES,
AL,ALABAMA,Atlanta,1263,568,,,,
NH,NEW HAMPSHIRE,Metro DC,962,332,,,,
OK,OKLAHOMA,Kansas City,947,433,,,,
MT,MONTANA,Denver,914,232,,0,YES,
ID,IDAHO,Denver,783,385,,,,
SC,SOUTH CAROLINA,Atlanta,690,350,,0,YES,
LA,LOUISIANA,Atlanta,498,212,,,,
WV,WEST VIRGINIA,Metro DC,376,185,,,,
DC,DISTRICT OF COLUMBIA,Metro DC,364,136,,,,
AR,ARKANSAS,Atlanta,296,208,,,,
HI,HAWAII,Seattle,255,78,,,,
NM,NEW MEXICO,Denver,165,95,,,,
MS,MISSISSIPPI,Atlanta,160,100,,,,
PR,PUERTO RICO,Metro DC,0,0,,0,YES,
