state,recipient_count,allocation_total,spend_total,direct_service_spend,review_worthy_spend,vendor_watch_spend
AK,19,16310750.45,4566975.72,0.00,0.00,0.00
AL,32,8500000.00,8500000.00,8500000.00,0.00,0.00
AZ,33,257674715.18,115972015.84,0.00,0.00,0.00
CA,2,349383974.92,0.00,0.00,0.00,0.00
CO,70,10553823.63,136523070.96,41327568.89,3087667.40,3287161.39
CT,168,7156742.58,4481622.82,0.00,0.00,0.00
FL,4,703946345.00,0.00,0.00,0.00,0.00
GA,228,80599751.67,66984017.53,0.00,0.00,0.00
IA,99,46184893.74,41059157.20,0.00,0.00,124357.45
ID,68,36664994.47,34615919.84,0.00,0.00,0.00
IL,213,135625450.43,119026444.98,0.00,0.00,179312.89
IN,629,137703428.76,25084206.00,15561844.00,6017347.00,1293578.00
KS,52,10123071.00,10123071.00,10123071.00,0.00,177375.00
KY,276,119203519.08,108421197.43,0.00,0.00,581443.01
MA,354,112299574.74,112166466.83,0.00,0.00,1668332.43
MD,123,333198288.65,27524956.99,5173484.31,0.00,0.00
ME,40,21453649.52,19571515.45,0.00,0.00,0.00
MI,115,58297385.00,58297385.00,55007284.00,937210.00,416000.00
MN,148,117446684.00,117446684.00,86038244.00,31047446.00,953274.00
MO,174,89017990.90,88107652.36,0.00,0.00,595860.60
MS,147,14661004.55,14375213.09,0.00,0.00,49720.42
MT,61,8034921.37,5290508.02,0.00,0.00,0.00
NC,117,1204354462.42,70675734.38,42121522.69,25017769.22,442814.67
ND,62,3252250.17,3214654.44,0.00,0.00,0.00
NE,96,7213903.82,7161929.94,442157.25,0.00,0.00
NJ,255,77235710.38,142464367.24,3730008.87,308115.02,460080.10
NM,50,33688893.96,31084298.24,0.00,0.00,0.00
NV,1,56737769.40,0.00,0.00,0.00,0.00
NY,66,154401680.65,153596100.23,0.00,0.00,824478.08
OH,1201,519426526.32,338836047.33,0.00,0.00,1255187.34
OR,71,43409541.87,75685071.73,9102783.98,969059.95,238632.81
RI,42,9908484.77,9908484.77,0.00,0.00,0.00
SC,57,24980753.11,10828516.08,0.00,0.00,0.00
TN,151,49450967.34,49249537.10,443946.29,0.00,344461.64
TX,1467,101661382.66,0.00,0.00,0.00,0.00
UT,30,89010722.81,53407788.96,0.00,0.00,0.00
VA,85,33813388.00,71945669.37,19234797.00,2293910.00,349271.00
VT,149,3868163.60,3054693.33,0.00,0.00,0.00
WA,125,114535893.73,85237677.56,0.00,0.00,45939.74
WI,1,73367771.00,39976500.00,0.00,0.00,0.00
WV,223,70086754.37,3198281.80,874021.57,2323102.91,563594.71
WY,32,15501521.90,15501521.90,0.00,0.00,0.00
