driver_category,total_amount_m,pct_of_total,rank,clean_energy_flag,num_cases
Infrastructure & Capital Investment,1355.0,33.7,1,N,8
Operations & Maintenance,672.0,16.7,2,N,6
Storm Recovery & Resiliency,504.2,12.5,3,N,7
Return on Equity (Shareholder Profits),463.0,11.5,4,N,5
Property Taxes,348.0,8.6,5,N,4
Depreciation & Amortization,242.0,6.0,6,N,2
Clean Energy Programs (SBC/CEF/CLCPA),187.3,4.7,7,Y,8
Other,101.4,2.5,8,N,6
Labor & Benefits,90.6,2.3,9,N,2
Vegetation Management,50.4,1.3,10,N,2
Regulatory & Administrative,10.0,0.2,11,N,1
