year,ny_rate,us_rate,ny_premium_pct,cpi_index,ny_indexed,us_indexed,cpi_indexed,ny_cagr_to_date,excess_growth
2015,17.75,12.65,40.3,100.0,100.0,100.0,100.0,0.00,0.00
2016,17.63,12.55,40.5,101.3,99.3,99.2,101.3,-0.68,-1.98
2017,17.24,12.89,33.7,103.4,97.1,101.9,103.4,-1.45,-3.13
2018,17.62,12.87,36.9,106.0,99.3,101.7,106.0,-0.24,-2.21
2019,17.75,13.01,36.4,107.8,100.0,102.8,107.8,0.00,-1.90
2020,17.77,13.15,35.1,109.2,100.1,104.0,109.2,0.02,-1.75
2021,19.47,13.72,41.9,114.3,109.7,108.5,114.3,1.55,-0.70
2022,22.43,15.12,48.3,123.5,126.4,119.5,123.5,3.40,0.34
2023,24.13,15.97,51.1,127.5,135.9,126.2,127.5,3.91,0.83
2024,25.19,16.83,49.7,131.1,141.9,133.0,131.1,3.97,0.91
2025,26.49,17.35,52.7,134.7,149.2,137.2,134.7,4.09,1.06
