state,facilities,facilities_with_violations,violation_rate,total_violations,health_violations,total_penalties,avg_penalty_per_facility,avg_violations_per_facility,enforcement_gap_score,serious_violators,high_severity_facilities,tri_facilities,tri_total_releases_lbs,water_systems,water_health_violations
AS,70,44,0.6286,15054,379,0.0,0.0,215.0571,215.0571,4,0,2,174000.0,53,379
MP,176,130,0.7386,5542,275,0.0,0.0,31.4886,31.4886,0,0,0,0.0,152,275
AZ,2910,1410,0.4845,59311,5930,927281.0,318.65,20.3818,15.4565,61,5,158,272556252.0,1693,5930
UT,2043,1098,0.5374,28001,2825,1015721.0,497.17,13.7058,9.1545,7,2,98,1016837132.0,1216,2825
ME,2819,1557,0.5523,18638,2611,962496.0,341.43,6.6116,4.9287,39,10,105,943561564.0,2173,2611
SD,968,533,0.5506,5747,1654,362570.0,374.56,5.937,4.3192,1,0,31,11184504.0,632,1654
CT,4259,2024,0.4752,38226,3036,5526633.0,1297.64,8.9753,3.9063,40,12,469,380921516.0,2821,3036
NH,3012,1992,0.6614,15141,3163,1158499.0,384.63,5.0269,3.6305,15,3,154,306891340.0,2322,3163
WY,1652,670,0.4056,10493,1670,1432959.0,867.41,6.3517,3.4013,7,4,22,234807624.0,765,1670
NC,11528,9275,0.8046,75510,4485,12677243.0,1099.69,6.5501,3.1196,2,10,764,1555710422.0,8127,4484
VT,2138,1205,0.5636,22860,2690,5329868.0,2492.92,10.6922,3.0611,28,5,59,21510392.0,1461,2690
AK,3154,1400,0.4439,49731,7525,17924767.0,5683.19,15.7676,2.3593,72,45,6,158680552.0,1790,7525
RI,1053,395,0.3751,5175,541,1360517.0,1292.04,4.9145,2.1442,2,1,196,129494584.0,442,541
OR,4824,2827,0.586,80408,4579,34386517.0,7128.22,16.6683,2.0507,62,10,204,426259996.0,3071,4579
PA,21431,8731,0.4074,283930,20025,118546640.0,5531.55,13.2486,2.0284,384,191,1180,1689120032.0,9658,20006
ID,3352,1589,0.474,33547,4462,13205679.0,3939.64,10.0081,2.0261,58,9,40,288955688.0,2021,4462
WV,5536,1348,0.2435,64679,3653,27714144.0,5006.17,11.6833,1.9452,330,71,101,664084632.0,1302,3650
MI,14869,10414,0.7004,101925,3501,37717177.0,2536.63,6.8549,1.9382,21,15,757,1048074856.0,10492,3500
KS,2245,737,0.3283,8641,3812,2807424.0,1250.52,3.849,1.7103,42,14,207,588672040.0,1078,3812
IL,9065,3819,0.4213,48324,5144,21998416.0,2426.74,5.3308,1.5557,79,21,1121,969321144.0,4545,5144
MS,2971,1002,0.3373,13540,2465,5925894.0,1994.58,4.5574,1.5219,11,16,230,1091814320.0,1376,2465
MO,8640,2567,0.2971,28543,5008,11132029.0,1288.43,3.3036,1.4436,12,2,486,741502548.0,2977,5006
MA,3328,1518,0.4561,14284,1397,6798389.0,2042.79,4.2921,1.4106,5,4,704,422772720.0,1268,1397
FL,8089,3820,0.4722,45357,4804,26036188.0,3218.72,5.6072,1.3291,365,31,380,1188522600.0,4941,4803
NE,2042,1083,0.5304,5983,3008,2745009.0,1344.27,2.93,1.2498,5,2,129,76094152.0,1274,3008
MT,3428,1676,0.4889,22339,2549,16144820.0,4709.69,6.5166,1.1413,30,22,27,160009452.0,2243,2549
TN,3003,1068,0.3556,10357,1444,6424813.0,2139.46,3.4489,1.0986,8,5,482,1954151024.0,807,1444
NY,15159,8418,0.5553,162323,9899,140382601.0,9260.68,10.708,1.0436,84,13,938,1244073208.0,8704,9897
WI,9154,5420,0.5921,27480,4506,18448630.0,2015.36,3.002,0.9956,25,21,659,394089112.0,6550,4505
DE,607,359,0.5914,1324,749,1072420.0,1766.75,2.1812,0.7884,0,1,63,223963892.0,395,749
IA,3474,1477,0.4252,13987,1699,15375451.0,4425.86,4.0262,0.742,7,3,287,248095780.0,1687,1699
WA,11280,3459,0.3066,57745,4820,67180868.0,5955.75,5.1192,0.736,47,24,304,1770988892.0,3533,4820
OH,9580,3783,0.3949,21120,3339,20627643.0,2153.2,2.2046,0.6992,90,13,1261,1821268420.0,4383,3338
CO,5810,2175,0.3744,39489,7848,53096171.0,9138.76,6.7967,0.6704,28,40,149,119347012.0,2197,7847
OK,3107,1356,0.4364,54662,18783,82194230.0,26454.53,17.5932,0.6408,109,32,199,502178284.0,944,18783
MN,2704,1399,0.5174,4895,1852,5061343.0,1871.8,1.8103,0.6304,15,9,301,346532196.0,1394,1851
IN,7560,3715,0.4914,34655,5686,47928790.0,6339.79,4.584,0.6245,43,31,712,2383018948.0,4683,5678
CA,13201,6856,0.5194,57173,30418,82186951.0,6225.81,4.331,0.5994,36,32,1575,22180367820.0,6155,30404
AL,2683,574,0.2139,9133,548,15390229.0,5736.2,3.404,0.5053,8,7,334,3308838788.0,535,548
VA,5685,2423,0.4262,22402,3373,42615220.0,7496.08,3.9405,0.4638,6,2,370,1577057964.0,2685,3373
