facility_name,facility_name_norm,state,county,facility_type,severity_score,total_penalties,total_donated,donation_count,unique_donors,unique_committees,years_active
SPACE EXPLORATION TECHNOLOGIES CORP,SPACE EXPLORATION TECHNOLOGIES,CA,LOS ANGELES,industrial,30.0,90000.0,255521241.0,37860,1000,97,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
LAS VEGAS (CITY OF),LAS VEGAS CITY OF,NM,SAN MIGUEL,water_system,65.0,33600.0,173435339.0,20257,1000,470,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
LONE PINE,LONE PINE,TX,TRAVIS COUNTY,industrial,10.0,0.0,46508185.0,1406,67,342,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
HONEYWELL INTERNATIONAL INC,HONEYWELL INTERNATIONAL,IL,MASSAC,industrial,40.0,0.0,32632590.0,481350,1000,140,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
MEDICAL CENTER,MEDICAL CENTER,KY,WARREN,industrial,10.0,0.0,27781401.0,225633,1000,2392,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
AMERICAN UNITED LIFE INSURANCE CO.,AMERICAN UNITED LIFE INSURANCE,IN,MARION,industrial,15.0,0.0,27185647.0,249711,1000,731,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
LOCKHEED MARTIN,LOCKHEED MARTIN,NJ,BURLINGTON,industrial,15.0,0.0,25120062.0,227696,1000,913,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
NORTHROP GRUMMAN CORP,NORTHROP GRUMMAN,FL,MARTIN,industrial,15.0,0.0,21942964.0,486710,1000,813,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
STANFORD UNIVERSITY,STANFORD UNIVERSITY,CA,SANTA CLARA,water_system,35.0,0.0,19058420.0,72743,1000,1185,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
"HEALTH CARE, INC.",HEALTH CARE,AL,ST. CLAIR,industrial,10.0,0.0,18315706.0,128934,1000,1709,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
WELLS FARGO WATER COMPANY,WELLS FARGO WATER COMPANY,AZ,PIMA,water_system,20.0,0.0,18193798.0,139459,1000,1847,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
ABC SUPPLY CO INC,ABC SUPPLY,CA,SAN BERNARDINO COUNTY,industrial,10.0,0.0,18077860.0,675,131,107,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
AMAZON.COM SERVICES LLC DPH8 PKG PHILADELPH4,AMAZON COM SERVICES DPH8 PKG PHILADELPH4,PA,PHILADELPHIA COUNTY,industrial,15.0,0.0,14534669.0,14793,1000,432,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
DELTA AIR LINES INC,DELTA AIR LINES,NY,QUEENS,industrial,15.0,0.0,14379880.0,123987,1000,575,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
PILOT HOUSE INN,PILOT HOUSE INN,VA,MIDDLESEX,water_system,25.0,0.0,14183267.0,453,20,169,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
PRATT INDUSTRIES INC.,PRATT INDUSTRIES,MI,BERRIEN,industrial,25.0,0.0,14116115.0,374,49,39,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNITED AIRLINES,UNITED AIRLINES,GA,CLAYTON COUNTY,industrial,25.0,0.0,14062355.0,200410,1000,924,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CITY OF SOUTH SAN FRANCISCO,CITY OF SOUTH SAN FRANCISCO,CA,SAN MATEO COUNTY,industrial,25.0,0.0,12650124.0,57324,1000,908,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
AMERICAN AIRLINES,AMERICAN AIRLINES,GA,FULTON COUNTY,industrial,25.0,0.0,12122969.0,146848,1000,1023,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
BNSF RAILWAY COMPANY,BNSF RAILWAY COMPANY,IA,DES MOINES,industrial,15.0,0.0,12025951.0,201277,1000,54,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF THE DISTRICT COLUMBIA COMMUNITY COLLEGE,UNIVERSITY OF THE DISTRICT COLUMBIA COMMUNITY COLLEGE,DC,DISTRICT OF COLUMBIA,industrial,15.0,0.0,11616535.0,62767,1000,969,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF WASHINGTON FOSTER SCHOOL,UNIVERSITY OF WASHINGTON FOSTER SCHOOL,WA,KING,industrial,15.0,0.0,11062889.0,74907,1000,818,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
BANK OF AMERICA,BANK OF AMERICA,NJ,MORRIS,industrial,15.0,0.0,10720241.0,143719,1000,1059,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CALIFORNIA STATE UNIVERSITY FULLERTON,CALIFORNIA STATE UNIVERSITY FULLERTON,CA,ORANGE,industrial,15.0,0.0,10410055.0,76228,1000,839,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
GENERAL MOTORS COMPANY,GENERAL MOTORS COMPANY,MI,EATON,industrial,10.0,0.0,10354771.0,298492,1000,37,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
POINT BLUFF RESORT BAR,POINT BLUFF RESORT BAR,WI,ADAMS,water_system,10.0,0.0,10133845.0,449,30,154,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
LAUREL RIDGE LANDFILL (SOUTHERN WASTE SERVICES),LAUREL RIDGE LANDFILL SOUTHERN WASTE SERVICES,KY,LOGAN,industrial,10.0,0.0,9794793.0,122,8,66,"2015,2016,2017,2018,2019,2020,2022,2024"
KAISER PERMANENTE,KAISER PERMANENTE,CA,ALAMEDA,industrial,25.0,0.0,9673657.0,102666,1000,1061,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF MICHIGAN,UNIVERSITY OF MICHIGAN,MI,WASHTENAW,industrial,15.0,0.0,9543403.0,76294,1000,788,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
ELI LILLY AND COMPANY- ENFIELD DISTRIBUTION CENTER,ELI LILLY AND COMPANY ENFIELD DISTRIBUTION CENTER,CT,HARTFORD,industrial,10.0,0.0,8972376.0,84809,1000,359,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
O'CONNOR UTILITY DISTRICT,O CONNOR UTILITY DISTRICT,TN,WHITE,water_system,15.0,0.0,8618342.0,12135,1000,693,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
RAYTHEON COMPANY,RAYTHEON COMPANY,MS,SCOTT,water_system,20.0,0.0,8242863.0,119102,1000,149,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
STATE UNIVERSITY OF NEW YORK-SUNY-BUFFALO NORTH CAMPUS,STATE UNIVERSITY OF NEW YORK SUNY BUFFALO NORTH CAMPUS,NY,ERIE,industrial,10.0,0.0,7964769.0,60678,1000,815,"2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
"SAN DIEGO, CITY OF",SAN DIEGO CITY OF,CA,,water_system,0.0,0.0,7900281.0,31581,1000,577,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNITED PARCEL SERVICE,UNITED PARCEL SERVICE,NJ,MONMOUTH,industrial,50.0,5300000.0,7395215.0,228543,1000,199,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
FORD MOTOR CO RESEARCH & ENG CENTER,FORD MOTOR RESEARCH ENG CENTER,MI,WAYNE,industrial,15.0,0.0,7392269.0,98127,1000,443,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF CALIFORNIA SAN DIEGO,UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,SAN DIEGO,industrial,10.0,0.0,7374940.0,11416,987,310,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
NEW BALANCE ATHLETIC SHOE INC,NEW BALANCE ATHLETIC SHOE,MA,SUFFOLK,industrial,15.0,0.0,7335425.0,50,6,14,"2016,2018,2019,2020,2021,2022,2023,2024"
AT&T SERVICES INC,AT T SERVICES,LA,EAST BATON ROUGE,industrial,10.0,0.0,7220360.0,102933,1000,143,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
YALE UNIVERSITY CENTRAL POWER PLANT,YALE UNIVERSITY CENTRAL POWER PLANT,CT,NEW HAVEN,industrial,10.0,0.0,7184615.0,38451,1000,680,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
TAMKO BUILDING PRODUCTS INC,TAMKO BUILDING PRODUCTS,AL,TUSCALOOSA,industrial,15.0,0.0,7171855.0,203,36,82,"2015,2016,2017,2018,2019,2020,2022,2024"
BLUE CROSS BLUE SHIELD,BLUE CROSS BLUE SHIELD,MI,,water_system,0.0,0.0,7170827.0,68956,1000,528,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CATERPILLAR INC,CATERPILLAR,IL,LIVINGSTON,industrial,45.0,64044.0,6886285.0,55057,1000,278,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
NORFOLK SOUTHERN THOROUGHBRED BULK TRANSFER - DORAVILLE,NORFOLK SOUTHERN THOROUGHBRED BULK TRANSFER DORAVILLE,GA,GWINNETT COUNTY,industrial,25.0,0.0,6691430.0,75821,1000,151,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
J & T MOBILE HOME PARK LLC,J T MOBILE HOME PARK,DE,SUSSEX,industrial,20.0,0.0,6671878.0,104321,1000,365,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UNIVERSITY OF NORTH TEXAS,UNIVERSITY OF NORTH TEXAS,TX,DENTON,industrial,25.0,0.0,6670083.0,55829,1000,770,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
NATIONAL MEDICAL CARE INC,NATIONAL MEDICAL CARE,NJ,BURLINGTON,industrial,5.0,0.0,6245306.0,25109,1000,471,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
