facility_id,facility_name,state,county,city,facility_type,total_penalties,formal_action_count,health_violations,qtrs_noncompliance,sdwa_serious_violator,severity_score,tri_total_releases_lbs,population_served
110000482022,ARDAGH GLASS INC,CA,MADERA,MADERA,water_system,389525,71,48,12,N,85,705800.0,384
110002371941,CITY OF MARLIN,TX,FALLS,MARLIN,water_system,138316,2,49,12,Y,80,,5967
110000485154,E&J GALLO WINERY,CA,MERCED,LIVINGSTON,water_system,63000,8,12,12,N,80,748000.0,245
110000463392,BASF CORP - FREEPORT SITE,TX,BRAZORIA,FREEPORT,water_system,134688,4,1,12,N,75,9614244.0,1480
110010866517,NEW CUMBERLAND CITY OF,WV,HANCOCK,NEW CUMBERLAND,water_system,59155,1,5,12,Y,70,,1326
110000906985,CLEAN HARBORS ARAGONITE LLC,UT,TOOELE,GRANTSVILLE,water_system,400564,10,10,12,N,70,,250
110000462801,GRACE PASADENA CATALYST SITE,TX,HARRIS,PASADENA,water_system,90300,1,2,12,N,70,295160.0,0
110022551683,"RIDGWAY, TOWN OF",CO,OURAY,RIDGWAY,water_system,51041,3,14,12,N,65,,1000
110011026941,LAS VEGAS (CITY OF),NM,SAN MIGUEL,LAS VEGAS,water_system,33600,4,135,12,N,65,,14530
110000379563,PMC ORGANOMETALLIX INC,KY,CARROLL,CARROLLTON,industrial,1494800,7,,12,N,65,22865200.0,
110038162118,CENTURY ALUMINUM SEBREE LLC,KY,HENDERSON,ROBARDS,water_system,6000,1,2,12,N,65,23980064.0,600
110000329038,SHELL CHEMICAL APPALACHIA LLC,PA,BEAVER,MONACA,industrial,4939336,2,,12,N,65,13861288.0,
110000452082,BASF CORPORATION,AR,CRITTENDEN,WEST MEMPHIS,water_system,10600,1,5,6,N,65,502800.0,75
110000607558,CLEVELAND-CLIFFS BURNS HARBOR LLC,IN,PORTER,BURNS HARBOR,industrial,3556596,8,,12,N,65,37404480.0,
110018925957,"FORMOSA PLASTICS CORPORATION, TEXAS",TX,CALHOUN COUNTY,POINT COMFORT,industrial,3655889,6,,12,N,65,269440.0,
110000324435,MPM SILICONES LLC,NY,SARATOGA,WATERFORD,industrial,3000000,3,,12,N,65,24678460.0,
110001164445,"BAKER COMMODITIES, INC",CA,FRESNO,KERMAN,both,21080,5,13,12,N,65,,60
110009780344,BEECHWOOD WSC,TX,SABINE,HEMPHILL,water_system,26861,1,53,12,N,65,,1138
110000384361,"OHIO REFINING CO,",OH,LUCAS,OREGON,industrial,1235170,7,,12,N,65,14931476.0,
110000462703,PASADENA REFINING SYSTEM,TX,HARRIS,PASADENA,industrial,2774888,4,,12,N,65,3044112.0,
110000423667,3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY,MN,WASHINGTON,COTTAGE GROVE,industrial,3123859,3,,12,N,65,21609156.0,
110000463365,"CLEAN HARBORS DEER PARK, LLC",TX,HARRIS,LA PORTE,water_system,250805,8,5,12,N,65,,270
110069996219,CITY OF STRAWN,TX,PALO PINTO,STRAWN,water_system,70408,2,102,12,N,65,,916
110000487660,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT 21,OR,MULTNOMAH,PORTLAND,industrial,1077655,3,,12,N,65,110400.0,
110000483860,CHEMTRADE WEST US LLC,CA,CONTRA COSTA,RICHMOND,industrial,1158000,22,,12,N,65,11044344.0,
110000592396,STEEL DYNAMICS INCORPORATED,IN,DEKALB,BUTLER,water_system,543563,7,1,12,N,60,,1000
